filename,volume_rate(%),duration(s),memory(KB)
br07_056.json,83.77,0.023,194
br07_057.json,83.28,0.025,167
br07_058.json,84.82,0.021,159
br07_059.json,79.44,0.019,172
br07_060.json,79.85,0.019,166
br07_061.json,81.28,0.021,148
br07_062.json,79.66,0.025,166
br07_063.json,79.38,0.023,153
br07_064.json,84.49,0.019,153
br07_065.json,78.39,0.026,198
br07_066.json,78.67,0.019,160
br07_067.json,80.16,0.021,194
br07_068.json,84.77,0.021,152
br07_069.json,77.74,0.026,189
br07_070.json,79.34,0.026,156
br07_071.json,78.33,0.019,167
br07_072.json,79.79,0.023,167
br07_073.json,80.42,0.018,162
br07_074.json,76.37,0.013,154
br07_075.json,85.84,0.015,171
br07_076.json,84.45,0.016,151
br07_077.json,78.09,0.019,191
br07_078.json,78.83,0.019,181
br07_079.json,82.15,0.018,196
br07_080.json,82.93,0.019,167
br07_081.json,81.81,0.020,155
br07_082.json,82.04,0.018,173
br07_083.json,79.63,0.018,179
br07_084.json,80.89,0.019,189
br07_085.json,83.57,0.017,154
br07_086.json,79.27,0.018,175
br07_087.json,83.94,0.022,160
br07_088.json,79.73,0.022,180
br07_089.json,83.15,0.020,152
br07_090.json,78.60,0.020,146
br07_091.json,82.45,0.017,152
br07_092.json,86.20,0.018,161
br07_093.json,82.92,0.017,141
br07_094.json,83.05,0.021,176
br07_095.json,78.00,0.026,183
br07_096.json,82.40,0.026,186
br07_097.json,82.66,0.015,164
br07_098.json,80.54,0.017,183
br07_099.json,84.78,0.019,182
br07_100.json,84.08,0.021,163
br08_001.json,80.63,0.020,191
br08_002.json,80.59,0.022,186
br08_003.json,74.01,0.019,187
br08_004.json,77.92,0.020,193
br08_005.json,85.02,0.017,196
br08_006.json,80.67,0.024,203
br08_007.json,81.23,0.020,165
br08_008.json,78.37,0.023,187
br08_009.json,73.30,0.021,168
br08_010.json,79.56,0.022,197
br08_011.json,85.89,0.034,182
br08_012.json,81.38,0.037,186
br08_013.json,79.93,0.030,204
br08_014.json,79.29,0.027,176
br08_015.json,81.61,0.021,168
